2026-03-18 16:56:40,031 - mealpy.swarm_based.PSO.OriginalPSO - INFO - OriginalPSO(epoch=150, pop_size=20, c1=1.5, c2=1.5, w=0.7)
2026-03-18 16:56:40,965 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 1, Current best: 0.05100027405731922, Global best: 0.05100027405731922, Runtime: 0.46645 seconds
2026-03-18 16:56:41,475 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 2, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.50859 seconds
2026-03-18 16:56:41,862 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 3, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.38633 seconds
2026-03-18 16:56:42,265 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 4, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.40146 seconds
2026-03-18 16:56:42,646 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 5, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.38125 seconds
2026-03-18 16:56:43,026 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 6, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.38038 seconds
2026-03-18 16:56:43,445 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 7, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.41799 seconds
2026-03-18 16:56:43,845 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 8, Current best: 0.03100583407036471, Global best: 0.03100583407036471, Runtime: 0.40203 seconds
2026-03-18 16:56:44,246 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 9, Current best: 0.02792142866569487, Global best: 0.02792142866569487, Runtime: 0.40252 seconds
2026-03-18 16:56:44,716 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 10, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.46773 seconds
2026-03-18 16:56:45,156 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 11, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.43868 seconds
2026-03-18 16:56:45,577 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 12, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.41513 seconds
2026-03-18 16:56:45,966 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 13, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.38805 seconds
2026-03-18 16:56:46,385 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 14, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.41984 seconds
2026-03-18 16:56:46,775 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 15, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.38711 seconds
2026-03-18 16:56:47,144 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 16, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.36871 seconds
2026-03-18 16:56:47,535 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 17, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.39080 seconds
2026-03-18 16:56:47,940 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 18, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.40422 seconds
2026-03-18 16:56:48,329 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 19, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.38722 seconds
2026-03-18 16:56:48,746 - mealpy.swarm_based.PSO.OriginalPSO - INFO - >>>Problem: P, Epoch: 20, Current best: 0.021776456715564496, Global best: 0.021776456715564496, Runtime: 0.41969 seconds
